song_id,artist,album,year,title,main_genre,sub_genre_1,sub_genre_2,brightness,energy,mood_1,mood_2,note
1,NewJeans,,,Supernatural,new jack swing,dance pop,,4,4,리드미컬,,
2,NewJeans,,,Right Now,drum & bass,dance pop,,2,4,리드미컬,,
3,NewJeans,,,How Sweet,dance pop,miami bass,,5,4,리드미컬,,
4,NewJeans,,,Bubble Gum,dance pop,synthpop,,5,3,청량,,
5,NewJeans,,,New Jeans,uk garage,jersey club,,2,3,세련,,
6,NewJeans,,,Super Shy,jersey club,breakbeat,,4,4,청량,,
7,NewJeans,,,ETA,hip hop,jersey club,brazilian funk,3,4,리드미컬,,
8,NewJeans,,,Cool With You,uk garage,house,r&b,2,2,몽환,,
9,NewJeans,,,Get Up,r&b,,,2,1,몽환,,
10,NewJeans,,,ASAP,dance pop,synthpop,,4,2,잔잔,,
11,NewJeans,,,OMG,r&b,hip hop,uk garage,5,4,청량,,
12,NewJeans,,,Ditto,jersey club,breakbeat,,5,4,벅참,,
13,NewJeans,,,Attention,dance pop,,,5,4,청량,,
14,NewJeans,,,Hype Boy,dance pop,moombahton,synthpop,5,4,청량,,
15,NewJeans,,,Cookie,dance pop,jersey club,,3,2,리드미컬,,
16,NewJeans,,,Hurt,r&b,,,3,1,잔잔,,
17,투모로우바이투게더,,,Upside Down Kiss,new jack swing,hip hop,dance pop,1,4,어두움,리드미컬,
18,투모로우바이투게더,,,Beautiful Strangers,hip hop,trap,,2,5,강렬,벅참,
19,투모로우바이투게더,,,Ghost Girl,pop rock,reggae rock,,1,4,어두움,리드미컬,
20,투모로우바이투게더,,,Sunday Driver,dance pop,,,5,4,청량,,
21,투모로우바이투게더,,,Dance With You,r&b,hip hop,,1,4,어두움,리드미컬,
22,투모로우바이투게더,,,Take My Half,ballad,pop rock,,4,3,벅참,잔잔,
23,투모로우바이투게더,,,Bird of Night,r&b,,,3,2,잔잔,몽환,
24,투모로우바이투게더,,,별의 노래,pop rock,stadium rock,,4,2,벅참,잔잔,
25,투모로우바이투게더,,,Love Language,house,dance pop,,5,4,청량,,
26,투모로우바이투게더,,,Heaven,disco,dance pop,,5,3,청량,리드미컬,
27,투모로우바이투게더,,,Over The Moon,dance pop,pop rock,r&b,4,4,청량,세련,
28,투모로우바이투게더,,,Danger,r&b,dance pop,,2,4,어두움,세련,
29,투모로우바이투게더,,,Resist (Note Gonna Run Away),reggaeton,,,2,4,어두움,세련,
30,투모로우바이투게더,,,Forty One Winks,r&b,,,3,3,잔잔,세련,
31,투모로우바이투게더,,,Higher Than Heaven,pop rock,,,5,5,청량,벅참,
32,투모로우바이투게더,,,내일에서 기다릴게 (I'll See You There Tomorrow),house,uk garage,,5,5,청량,,
33,투모로우바이투게더,,,Deja Vu,hip hop,trap,pop rock,1,4,강렬,어두움,
34,투모로우바이투게더,,,Miracle,pop rock,synthpop,,5,5,벅참,청량,
35,투모로우바이투게더,,,The Killa (I Belong to You),r&b,afrobeats,,1,3,리드미컬,어두움,
36,투모로우바이투게더,,,Quarter Life,pop rock,stadium rock,,5,5,청량,벅참,
37,투모로우바이투게더,,,Deja Vu (Anemoia Remix),pop rock,alternative rock,,1,5,강렬,벅참,
38,투모로우바이투게더,,,Growing Pain,pop rock,hard rock,,1,5,강렬,어두움,
39,투모로우바이투게더,,,Chasing That Feeling,synthpop,new wave,,2,5,강렬,세련,
40,투모로우바이투게더,,,Back for More  (TXT Ver.),disco,funk pop,,1,5,리드미컬,,
41,투모로우바이투게더,,,Dreamer,r&b,soul,,2,3,몽환,,
42,투모로우바이투게더,,,Deep Down,jersey club,dance pop,,3,3,몽환,리드미컬,
43,투모로우바이투게더,,,Happily Ever After,jersey club,dance pop,,5,4,청량,리드미컬,
44,투모로우바이투게더,,,물수제비,pop rock,indie rock,,3,2,벅참,,
45,투모로우바이투게더,,,Blue Spring,pop rock,alternative rock,,4,2,벅참,,
46,투모로우바이투게더,,,Do It Like That,dance pop,funk pop,,5,4,리드미컬,,
47,투모로우바이투게더,,,Devil by the Window,dance pop,synthpop,,1,4,어두움,,
48,투모로우바이투게더,,,Sugar Rush Ride,dance pop,pop rock,,2,5,몽환,,
49,투모로우바이투게더,,,Happy Fools (feat. Coi Leray),hip hop,dance pop,,5,3,리드미컬,,
50,투모로우바이투게더,,,Tinnitus (돌멩이가 되고 싶어),r&b,afrobeats,,2,3,리드미컬,,
51,투모로우바이투게더,,,네버랜드를 떠나며,ballad,pop rock,,2,4,벅참,,
52,투모로우바이투게더,,,Opening Sequence,r&b,,,1,2,,,
53,투모로우바이투게더,,,Good Boy Gone Bad,hip hop,pop rock,,1,5,강렬,,
54,투모로우바이투게더,,,Trust Fund Baby,ballad,pop rock,,2,2,,,
55,투모로우바이투게더,,,Lonely Boy (네 번째 손가락 위 타투),r&b,hip hop,,1,2,,,
56,투모로우바이투게더,,,Thursday's Child Has Far To Go,synthpop,,,4,5,벅참,,
57,투모로우바이투게더,,,LO$ER=LO♡ER,pop rock,pop punk,hip hop,5,5,벅참,,
58,투모로우바이투게더,,,Anti-Romantic,synthpop,r&b,,4,2,,,
59,투모로우바이투게더,,,0X1=LOVESONG (I Know I Love You) feat. Seori,pop rock,alternative rock,,4,5,벅참,,
60,투모로우바이투게더,,,Magic,disco,dance pop,,5,4,청량,,
61,투모로우바이투게더,,,소악행,dance pop,synthpop,,5,3,,,
62,투모로우바이투게더,,,밸런스 게임,hip hop,synthpop,,5,3,,,
63,투모로우바이투게더,,,No Rules,funk pop,dance pop,,5,4,청량,,
64,투모로우바이투게더,,,교환일기 (두밧두 와리와리),dance pop,,,5,4,청량,,
65,투모로우바이투게더,,,디어 스푸트니크,pop rock,alternative rock,,4,5,벅참,,
66,투모로우바이투게더,,,Frost,hip hop,hyperpop,trap,1,5,강렬,,
67,투모로우바이투게더,,,0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),pop rock,emo rock,,4,5,벅참,,
68,투모로우바이투게더,,,Ghosting,pop rock,alternative rock,,5,4,청량,,
69,투모로우바이투게더,,,5시 53분의 하늘에서 발견한 너와 나,disco,dance pop,,5,4,청량,,
70,투모로우바이투게더,,,날씨를 잃어버렸어,dance pop,dancehall,,2,4,,,
71,투모로우바이투게더,,,Wishlist,pop rock,,,5,5,청량,,
72,투모로우바이투게더,,,하굣길,r&b,synthpop,,4,3,,,
73,투모로우바이투게더,,,Drama,funk pop,,,3,4,청량,,
74,투모로우바이투게더,,,"세계가 불타버린 밤, 우린... (Can't You See Me?)",dance pop,hip hop,,2,5,강렬,,
75,투모로우바이투게더,,,샴푸의 요정,synthpop,dream pop,,2,2,,,
76,투모로우바이투게더,,,거울 속의 미로,pop rock,britpop,,1,2,,,
77,투모로우바이투게더,,,동물원을 빠져나온 퓨마,hip hop,trap,,1,5,강렬,,
78,투모로우바이투게더,,,Eternally,r&b,alternative r&b,,2,4,,,
79,투모로우바이투게더,,,New Rules,funk pop,hip hop,,2,5,,,
80,투모로우바이투게더,,,9와 4분의 3 승강장에서 너를 기다려 (Run Away),synthpop,new wave,,4,5,청량,,
81,투모로우바이투게더,,,간지러워 (Roller Coaster),uk garage,new jack swing,,3,3,,,
82,투모로우바이투게더,,,Poppin' Star,dance pop,synthpop,,5,3,청량,,
83,투모로우바이투게더,,,그냥 괴물을 살려두면 안 되는 걸까,house,moombahton,,5,4,청량,,
84,투모로우바이투게더,,,Magic Island,ballad,,,4,1,,,
85,투모로우바이투게더,,,20cm,r&b,,,4,2,,,
86,투모로우바이투게더,,,Angel Or Devil,hip hop,,,5,4,청량,키치,
87,투모로우바이투게더,,,Blue Orangeade,new jack swing,,,5,4,청량,,
88,투모로우바이투게더,,,어느날 머리에서 뿔이 자랐다 (CROWN),synthpop,dance pop,,5,4,청량,,
89,투모로우바이투게더,,,Our Summer,house,dance pop,,5,3,청량,,
90,투모로우바이투게더,,,Cat & Dog,hip hop,trap,,5,3,,,
91,투모로우바이투게더,,,별의 낮잠,pop rock,ballad,,4,1,,,
92,연준,,,Talk to You,pop rock,hard rock,,1,5,강렬,,
93,연준,,,Forever,hip hop,synthpop,,4,3,,,
94,연준,,,Let Me Tell You (feat. Daniela of KATSEYE),r&b,,,3,3,,,
95,연준,,,Do It,hip hop,,,4,3,,,
96,연준,,,Nothin’ ’Bout Me,hip hop,pop rock,,2,4,강렬,,
97,연준,,,Coma,hip hop,,,1,5,강렬,,
98,연준,,,GGUM,hip hop,,,1,5,강렬,,
99,KATSEYE,,,Internet Girl,dance pop,,,5,5,,,
100,KATSEYE,,,Gnarly,hyperpop,dance pop,funk pop,2,5,강렬,,
101,KATSEYE,,,Gabriela,dance pop,latin pop,,2,3,,,
102,KATSEYE,,,Gameboy,dance pop,moombahton,,4,3,,,
103,KATSEYE,,,Debut,dance pop,,,2,3,,,
104,KATSEYE,,,Touch,dance pop,,,2,3,리드미컬,,
105,IVE,,,BLACKHOLE,synthpop,uk garage,,4,4,,,
106,IVE,,,BANG BANG,house,dance pop,,2,5,강렬,,
107,IVE,,,XOXZ,hip hop,r&b,,1,5,강렬,,
108,IVE,,,Wild Bird,dance pop,,,4,2,,,
109,IVE,,,GOTCHA (Baddest Eros),hip hop,dance pop,,1,5,강렬,,
110,IVE,,,REBEL HEART,dance pop,synthpop,,4,4,벅참,,
111,IVE,,,ATTITUDE,dance pop,house,,2,4,,,
112,IVE,,,해야 (HEYA),hip hop,dance pop,,4,4,,,
113,IVE,,,Accendio,hip hop,drum & bass,,2,4,,,
114,IVE,,,Off The Record,r&b,funk pop,,4,3,리드미컬,,
115,IVE,,,Baddie,hip hop,,,1,2,,,
116,IVE,,,Either Way,synthpop,,,3,2,,,
117,IVE,,,Blue Blood,synthpop,dance pop,,1,4,강렬,,
118,IVE,,,I AM,dance pop,synthpop,,5,5,벅참,,
119,IVE,,,Kitsch,dance pop,hip hop,,4,4,키치,,
120,IVE,,,After LIKE,house,disco,,5,5,벅참,,
121,IVE,,,My Satisfaction,pop rock,punk rock,,2,4,,,
122,IVE,,,LOVE DIVE,synthpop,dance pop,,2,4,벅참,,
123,IVE,,,ROYAL,house,funk pop,,1,4,강렬,,
124,IVE,,,ELEVEN,dance pop,synthpop,,4,3,,,
125,범규,,,Panic,pop rock,,,3,2,벅참,,
126,Hearts2Hearts (하츠투하츠),,,RUDE!,house,dance pop,,5,4,발랄,,
127,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,2025,FOCUS,house,dance pop,,3,3,세련,,
128,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,2025,Apple Pie,disco,synthpop,,3,3,,,
129,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,2025,Pretty Please,new jack swing,,,4,3,,,
130,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,2025,Flutter,city pop,,,4,3,,,
131,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,2025,Blue Moon,r&b,ballad,,4,2,,,
132,Hearts2Hearts (하츠투하츠),,,STYLE,dance pop,funk pop,,5,4,발랄,,
133,Hearts2Hearts (하츠투하츠),,,The Chase,synthpop,dance pop,,4,3,몽환,,
134,Hearts2Hearts (하츠투하츠),,,Butterflies,r&b,,,4,2,,,
135,KiiKii (키키),Delulu Pack,2026,Delulu,disco,dance pop,,3,3,리드미컬,,
136,KiiKii (키키),Delulu Pack,2026,404 (New Era),uk garage,house,,2,4,,,
137,KiiKii (키키),Delulu Pack,2026,UNDERDOGS,dance pop,,,2,3,,,
138,KiiKii (키키),Delulu Pack,2026,멍냥,hip hop,,,3,3,몽환,,
139,KiiKii (키키),Delulu Pack,2026,Dizzy,hip hop,r&b,,4,2,,,
140,KiiKii (키키),Delulu Pack,2026,To Me From Me (Prod. TABLO),ballad,,,4,2,,,
141,KiiKii (키키),,,DANCING ALONE,city pop,synthpop,,4,4,,,
142,KiiKii (키키),UNCUT GEM,2025,DEBUT SONG,hip hop,dance pop,,4,3,키치,,
143,KiiKii (키키),UNCUT GEM,2025,GROUNDWORK,hip hop,synthpop,,3,3,키치,,
144,KiiKii (키키),UNCUT GEM,2025,I DO ME,dance pop,disco,,4,3,발랄,,
145,KiiKii (키키),UNCUT GEM,2025,THERE THEY GO,hip hop,dance pop,,3,2,키치,,
146,KiiKii (키키),UNCUT GEM,2025,BTG,hip hop,synthpop,,3,3,,,
147,KiiKii (키키),UNCUT GEM,2025,한 개뿐인 (ONE OFF),r&b,synthpop,,4,2,,,
148,NMIXX,Blue Valentine,2025,Blue Valentine,synthpop,hip hop,pop rock,4,4,벅참,,
149,NMIXX,Blue Valentine,2025,SPINNIN' ON IT,dance pop,r&b,,3,4,벅참,,
150,NMIXX,Blue Valentine,2025,Phoenix,dance pop,funk pop,,2,4,,,
151,NMIXX,Blue Valentine,2025,Reality Hurts,jersey club,dance pop,hip hop,1,4,강렬,,
152,NMIXX,Blue Valentine,2025,RICO,hip hop,dance pop,latin pop,2,3,,,
153,NMIXX,Blue Valentine,2025,Game Face,hip hop,dance pop,,4,3,,,
154,NMIXX,Blue Valentine,2025,PODIUM,dance pop,reggaeton,,1,4,강렬,,
155,NMIXX,Blue Valentine,2025,Crush On You,dance pop,r&b,,4,2,,,
156,NMIXX,Blue Valentine,2025,ADORE U,pop rock,hip hop,hyperpop,4,4,벅참,,
157,NMIXX,Blue Valentine,2025,Shape of Love,dance pop,hip hop,synthpop,4,3,,,
158,NMIXX,Fe3O4: FORWARD,2025,High Horse,hip hop,breakbeat,ballad,4,3,,,
159,NMIXX,Fe3O4: FORWARD,2025,KNOW ABOUT ME,hip hop,trap,,2,3,,,
160,NMIXX,Fe3O4: FORWARD,2025,Slingshot (<★),house,rave,,2,4,,,
161,NMIXX,Fe3O4: FORWARD,2025,Golden Recipe,hip hop,orchestral,,3,2,,,
162,NMIXX,Fe3O4: FORWARD,2025,Papillon,hip hop,,,2,4,,,
163,NMIXX,Fe3O4: FORWARD,2025,Ocean,dance pop,indie pop,,4,3,벅참,,
164,NMIXX,Fe3O4: STICK OUT,2024,별별별 (See that?),hip hop,country,old-school hip hop,1,3,,,
165,NMIXX,Fe3O4: STICK OUT,2024,SICKUHH (Feat. Kid Milli),hip hop,,,1,2,,,
166,NMIXX,Fe3O4: STICK OUT,2024,"Red light sign, but we go",house,hip hop,electronic dance,2,4,,,
167,NMIXX,Fe3O4: STICK OUT,2024,BEAT BEAT,dance pop,hip hop,,3,4,,,
168,NMIXX,Fe3O4: STICK OUT,2024,Moving On,pop rock,,,4,4,벅참,,
169,NMIXX,Fe3O4: STICK OUT,2024,Love Is Lonely,dance pop,ballad,edm,4,4,벅참,,
170,NMIXX,,,Party O'Clock,uk garage,dance pop,,5,4,청량,,
171,NMIXX,,,Roller Coaster,house,funk pop,bossa nova,5,3,청량,,
172,NMIXX,,,DICE,hip hop,jazz,trap,2,5,,,
173,NMIXX,,,COOL (Your rainbow),ballad,trap,,4,2,,,
174,NMIXX,,,占 (TANK),hip hop,r&b,pop rock,1,5,,,
175,NMIXX,,,O.O,hip hop,balie funk,pop rock,2,5,,,
